,aid_type_general,aid_total_eur,aid_commit_usd,aid_delivered_usd,Year,Country Name,armed_forces,arms_exports,arms_imports,mil_exp_gdp_pct,mil_exp_usd
55,Military,50378261.0,49500000.0,49500000.0,2022,Australia,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
56,Humanitarian,6189216.0,0.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
57,Military,21271384.0,0.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
58,Military,61892156.0,1590752.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
59,Military,0.0,700000.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
60,Military,0.0,9800000.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
61,Military,0.0,4900000.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
62,Military,0.0,0.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
63,Military,44763393.0,49500000.0,49500000.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
64,Military,12021529.0,0.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
65,Military,0.0,0.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
66,Military,0.0,1000000.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
67,Military,0.0,0.0,0.0,2023,Australia,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
68,0,0.0,0.0,0.0,2020,Austria,23000.0,10000000.0,14000000.0,0.884127145088915,3840077510.54371
69,0,0.0,0.0,0.0,2021,Austria,0.0,3000000.0,34000000.0,0.8736941368808,4196428571.42857
70,Humanitarian,1041782.0,311550.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
71,Humanitarian,0.0,108000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
72,Humanitarian,0.0,500000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
73,Humanitarian,0.0,12000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
74,Humanitarian,0.0,2600.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
75,Humanitarian,0.0,100429.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
76,Humanitarian,0.0,105000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
77,Humanitarian,0.0,42000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
78,Humanitarian,54400000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
79,Humanitarian,10817903.0,11430000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
80,Humanitarian,625000000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
81,Humanitarian,0.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
82,Humanitarian,0.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
83,Humanitarian,0.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
84,Humanitarian,1835159.0,317500.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
85,Humanitarian,0.0,1200000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
86,Humanitarian,0.0,300000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
87,Humanitarian,5005199.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
88,Humanitarian,5000000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
89,Humanitarian,5315513.0,2222500.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
90,Humanitarian,0.0,3200000.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
91,Humanitarian,0.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
92,Humanitarian,5000000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
93,Military,3255639.0,270000.0,270000.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
94,Military,0.0,371680.0,371680.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
95,Military,0.0,2945124.0,2945124.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
96,Military,0.0,570.0,570.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
97,Financial,10000000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
98,Financial,20000000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
99,Financial,10000000.0,0.0,0.0,2022,Austria,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
100,Humanitarian,5000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
101,Humanitarian,3147960.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
102,Humanitarian,18000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
103,Humanitarian,1157943.0,1270000.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
104,Humanitarian,2000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
105,Humanitarian,1000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
106,Humanitarian,1000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
107,Financial,30000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
108,Financial,10000000.0,0.0,0.0,2023,Austria,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
