Country Name,aid_type_general,aid_type_specific,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,Year,Country Code,"Armed forces personnel, total",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),Military expenditure (% of GDP),Military expenditure (current USD)
Australia,Military,Weapons,AUD,Allocation,79500000,79500000,53512016.56484587,48106205.75102336,79500000,53512016.56484587,48106205.75102336,48106205.75102336,53512016.56484587,29652560.422328956,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,79500000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,79500000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,79500000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Assistance,AUD,Allocation,8700000,8700000,5856032.0014359625,5264452.704828971,8700000,5856032.0014359625,5264452.704828971,5264452.704828971,5856032.0014359625,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Funding for Weapon Acquisition Program,AUD,Allocation,20000000,20000000,13462142.532036696,12102190.126043612,20000000,13462142.532036696,12102190.126043612,12102190.126043612,13462142.532036696,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,USD,Allocation,Not given,49500000,50378261.01706415,44854105.92965728,49500000,50378261.01706415,44854105.92965728,44854105.92965728,50378261.01706415,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,33000000,33000000,21271384.186981905,19272259.96691691,33000000,21271384.186981905,19272259.96691691,19272259.96691691,21271384.186981905,.,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Weapons,AUD,Allocation,100000000,100000000,61892155.731916934,56075415.90586309,100000000,61892155.731916934,56075415.90586309,56075415.90586309,61892155.731916934,.,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Weapons,AUD,Allocation,100000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Weapons,AUD,Allocation,100000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Weapons,AUD,Allocation,100000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Weapons,AUD,Allocation,100000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Weapons,USD,Allocation,Not given,49500000,44763393.491544686,40922975.760823056,49500000,44763393.491544686,40922975.760823056,40922975.760823056,44763393.491544686,43432028.56193818,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Equipment,AUD,Allocation,20000000,20000000,12021529.46640802,10891723.784405002,20000000,12021529.46640802,10891723.784405002,10891723.784405002,12021529.46640802,.,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Equipment,AUD,Allocation,20000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
