Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,5.13717005098356,3.11413417074067,2.07007907702074,1.70479333642779,1.68531487168875,1.78613955703739,0.926002720032338,1.1865745230175,1.20687000345415,1.18224065272192,1.17101598442775,1.07122988811276,1.1194273389201,0.698345250389636,0.683194068910973,0.656344301232692,0.633524160748185,0.660195770052346,0.645800146381367,0.565041583529038,0.591541401612986,..,..,..,..
Albania,ALB,"Armed forces personnel, total",MS.MIL.TOTL.P1,67500,40500,27000,22000,21500,22500,11500,14500,14500,14745,14745,14750,14750,8500,8500,8500,8500,9000,9000,8000,8000,..,..,..,..
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.24636024189216,1.30929137475594,1.32003449433204,1.33684292419802,1.38115794211088,1.35000497056322,1.56776908873068,1.8207653435572,1.98486885667765,1.5172171395597,1.55859189302349,1.52826633776627,1.48708257655216,1.40898210141146,1.34651599128914,1.16230386432234,1.10358100880452,1.10915100558884,1.16054478505068,1.28080596201472,1.29583570269739,1.24298808396067,1.21098343566728,1.74399167669186,..
Albania,ALB,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,3.84384065661926,4.14741288966839,4.26975280105134,4.61292952593064,4.66321103763279,4.73437520175261,5.42898862467715,6.22608105672699,6.25619786501779,4.64272721436367,5.30374152460951,5.28386450211732,5.26790009594914,4.82648553602103,4.24378498276555,3.77889251316413,3.78723434007733,3.80346444991409,3.99130087621609,4.40511619586606,3.98075632132468,3.86998513866664,3.97041542821594,5.61952875583332,..
Austria,AUT,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.04290296805035,0.893394996523248,0.874751511158517,0.868059475621829,0.988297293003033,0.996920015611767,0.980669532509931,0.840289731899559,0.831862521170901,0.609605260587419,0.60386994407205,0.541825553611716,0.525344774789534,0.513364474402621,0.510542475205221,0.478649862133146,0.49328330912061,0.459750990106597,0.495831220354555,0.475393009561882,0.499147867781372,..,..,..,..
Austria,AUT,"Armed forces personnel, total",MS.MIL.TOTL.P1,40500,34600,34600,34600,39000,40000,40000,35000,35000,25900,25758,23250,22800,22500,22500,21350,22400,21000,22850,22000,23000,..,..,..,..
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.98031858008593,0.908240040709509,0.88352783657309,0.913640318789259,0.893480466242935,0.850142574026263,0.785813244459197,0.90045717278703,0.870705123070585,0.833379564692924,0.821232711530621,0.790897558452031,0.778464250647036,0.750825383084571,0.747780095379783,0.698116413133988,0.729737691793485,0.757279033702098,0.745028039648345,0.75035965749035,0.884127145088915,0.8736941368808,0.768528566154672,0.844274840737983,..
Austria,AUT,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,1.93159028105101,1.76504348593881,1.68193442016185,1.82318437443309,1.65790767717745,1.66192198199585,1.55982953492681,1.82864212363054,1.7459147315395,1.53927540878487,1.55432460438281,1.55406732517693,1.52004068801971,1.4537368568918,1.42919429974528,1.36811785600437,1.45739672398483,1.53610008182722,1.52801954740725,1.54167679725207,1.5570304159137,1.55865661676857,1.45560179338752,1.63257715135905,..
Belarus,BLR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.89162975635352,3.96001473150115,3.8678846359593,3.70894533128142,3.67839880512672,3.68993422238568,3.68017841826736,3.66736259715004,3.64752473589828,3.62410427530989,3.60651491073314,3.10463748346731,3.10116470324994,3.1002166619771,3.09997092305754,3.10040403366489,3.05121763912158,3.05217726572964,3.07464063715025,3.08553255495632,3.17250729275094,..,..,..,..
Belarus,BLR,"Armed forces personnel, total",MS.MIL.TOTL.P1,91100,192900,189800,182900,182000,183000,183000,183000,183000,182940,182940,158000,158000,158000,158000,158000,155350,155000,155350,155000,158000,..,..,..,..
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.34698415075765,1.43829074692244,1.40024580052512,1.29906390002339,1.35822231382833,1.49845313530187,1.70941249195756,1.64976591437478,1.45349285157346,1.37257698145111,1.3413834329232,1.22449510976582,1.22921872178113,1.27079665150066,1.04232763587955,1.13806602416355,1.52328091923032,1.37200444073753,1.53799428873681,1.39642297566801,1.40325859867166,1.36528926554311,1.64869313490861,1.79770336310455,..
Belarus,BLR,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,..,32.8021248339973,30.938292476754,28.857837181045,29.8461538461539,32.2101090188305,35.0219695011631,32.4493927125506,23.4289617486339,25.677147134885,30.2660489741893,30.389337641357,31.6058174476477,31.1368392211303,26.8390106729725,27.2462521634935,37.4427876152014,35.1419367340018,40.6400812252922,37.3841079341109,36.8837119483164,37.6294876589379,45.6543192012733,50.5913118885667,..
