Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Poland,POL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.83033658531361,1.90563800121799,1.90063864932514,1.90804203657513,1.8732410064926,1.92612986992008,1.92075038034244,2.00203282841042,1.75213971068109,1.79741622783841,1.84785215509548,1.80318361835199,1.81467677038876,1.79844993577184,1.91903675982857,2.1405458303192,1.94921770662177,1.90165998081495,2.04480024979944,1.97509539032691,2.28748515617247,2.24262361370911,2.22856108974913,3.83272853898223,..
Poland,POL,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,4.2442264713186,4.24106760712879,4.19584742670087,4.1768214576837,4.31049577421718,4.35394938037748,4.32100349616516,4.66670592507533,3.96663972345345,3.99304403018787,3.99582100892784,4.05983308528475,4.17824275667511,4.1424633223073,4.47249939698272,5.12868590490832,4.71575940658428,4.59126580660087,4.93352984491243,4.71654739618877,4.74114037965368,5.08625311371413,5.10092003253319,8.11915596843084,..
Poland,POL,Military expenditure (current USD),MS.MIL.XPND.CD,3146106712.50118,3630645594.66523,3776173214.41264,4150261758.56501,4778627749.04037,5896404861.10253,6619413758.87805,8589136364.45745,9349421394.29862,7903812008.43552,8790170132.32514,9455422988.00142,8986838792.09222,9275711727.44588,10345153574.8722,10212785780.6075,9164190586.63773,9870680628.27225,12040673422.9565,11786153846.1538,13718291431.5033,15295541731.4671,15341313422.5328,31649874711.6473,..
Poland,POL,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.37181193032896,1.29703589751642,1.06325300180136,1.06841457127432,0.940396344551701,0.925519027642854,0.856325628234907,0.82209442449193,0.817060357391342,0.681764933291491,0.673199474216793,0.652154889907636,0.947337887284016,0.945490786364742,0.939149731790365,0.941785187360447,0.970320590877377,1.03471120208143,1.06713036654816,1.02820491199056,1.04273342249716,..,..,..,..
Poland,POL,"Armed forces personnel, total",MS.MIL.TOTL.P1,238800,228000,184400,184400,162000,162000,148000,142000,143000,121400,121400,118050,172700,172700,172700,172700,178400,191000,196700,189000,189000,..,..,..,..
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.34698415075765,1.43829074692244,1.40024580052512,1.29906390002339,1.35822231382833,1.49845313530187,1.70941249195756,1.64976591437478,1.45349285157346,1.37257698145111,1.3413834329232,1.22449510976582,1.22921872178113,1.27079665150066,1.04232763587955,1.13806602416355,1.52328091923032,1.37200444073753,1.53799428873681,1.39642297566801,1.40325859867166,1.36528926554311,1.64869313490861,1.79770336310455,..
Belarus,BLR,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,..,32.8021248339973,30.938292476754,28.857837181045,29.8461538461539,32.2101090188305,35.0219695011631,32.4493927125506,23.4289617486339,25.677147134885,30.2660489741893,30.389337641357,31.6058174476477,31.1368392211303,26.8390106729725,27.2462521634935,37.4427876152014,35.1419367340018,40.6400812252922,37.3841079341109,36.8837119483164,37.6294876589379,45.6543192012733,50.5913118885667,..
Belarus,BLR,Military expenditure (current USD),MS.MIL.XPND.CD,140326204.73339,177697841.726619,204364237.375204,231563860.43768,314314017.757122,452684068.306544,631831238.109449,746943263.997614,883027522.93578,675426505.075097,767699285.884553,756277351.280397,807423262.843503,959801690.305798,821490199.261989,642492621.860309,719624427.112323,748831971.680445,923260053.642986,899710685.507974,861053278.688525,951238823.019656,1105174741.30497,1403134160.09019,..
Belarus,BLR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.89162975635352,3.96001473150115,3.8678846359593,3.70894533128142,3.67839880512672,3.68993422238568,3.68017841826736,3.66736259715004,3.64752473589828,3.62410427530989,3.60651491073314,3.10463748346731,3.10116470324994,3.1002166619771,3.09997092305754,3.10040403366489,3.05121763912158,3.05217726572964,3.07464063715025,3.08553255495632,3.17250729275094,..,..,..,..
Belarus,BLR,"Armed forces personnel, total",MS.MIL.TOTL.P1,91100,192900,189800,182900,182000,183000,183000,183000,183000,182940,182940,158000,158000,158000,158000,158000,155350,155000,155350,155000,158000,..,..,..,..
Latvia,LVA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.881715011606815,1.04153876427659,1.54220827552533,1.61002427493687,1.59565821670758,1.61062192658035,1.70523464011206,1.55039879604486,1.62264137558566,1.37736784110828,1.0835925294035,1.07114811696512,0.907662242915502,0.938941958353352,0.943460035769368,1.03735427695593,1.45006228291436,1.59351134040875,2.06149811300222,2.0214000784007,2.16211101523024,2.08702338506654,2.0941585284431,2.26754267524368,..
Latvia,LVA,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,2.43450221684805,3.0316035895435,4.50121654501217,4.8856416772554,4.7661530143282,4.66751918158568,5.06388121546961,4.70714094677721,4.46388515029161,3.24851042701092,2.53951800984711,2.68552581504503,2.44561877841956,2.51530852567122,2.49608062709966,2.77427078798433,4.01418439716312,4.36725573837091,5.41539016038926,5.35946578787616,5.22388059701493,4.83299770849247,5.17647058823529,5.63165890570431,..
