source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_sub_activity_value,tot_sub_activity_value_EUR,item_value_estimate_USD,item_value_estimate_deliv_USD
11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,,
11000000.0,,,,,,
11000000.0,,,,,,
11000000.0,,,,,,
11000000.0,,,,,,
11000000.0,,,,,,
11000000.0,,,,,,
2646400.0,2646400.0,2646400.0,2646400.0,2646400.0,,
2646400.0,,,,,,
10639008.0,10639008.0,10639008.0,10639008.0,10639008.0,,
10639008.0,,,,,434930.0,434930.0
8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,,
8000000.0,,,,,,
8000000.0,,,,,,
8000000.0,,,,,,
1757052.0,1757052.0,1757052.0,1757052.0,1757052.0,,
1757052.0,,,,,1500000.0,1500000.0
1757052.0,,,,,,
25004047.0,25004047.0,25004047.0,25004047.0,25004047.0,11874012.0,11874012.0
25004047.0,,,,,,
25004047.0,,,,,,
25004047.0,,,,,2555990.0,2555990.0
25004047.0,,,,,,
25004047.0,,,,,21000000.0,21000000.0
25004047.0,,,,,,
25004047.0,,,,,,
25004047.0,,,,,,
25004047.0,,,,,397190.0,397190.0
3235699.0,3235699.0,3235699.0,3235699.0,3235699.0,,
7285280.0,7285280.0,7285280.0,7285280.0,7285280.0,400000.0,400000.0
7285280.0,,,,,,
7285280.0,,,,,,
7285280.0,,,,,,
1444400.0,1444400.0,1444400.0,1444400.0,1444400.0,888640.0,888640.0
1444400.0,,,,,,
94039642.0,94039642.0,94039642.0,94039642.0,94039642.0,,
94039642.0,,,,,,
94039642.0,,,,,42648000.0,42648000.0
94039642.0,,,,,3504614.0,3504614.0
94039642.0,,,,,,
94039642.0,,,,,,
3448472.0,3448472.0,3448472.0,3448472.0,3448472.0,84000000.0,
60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,,
1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,,
,757501.0,685017.0,757501.0,685017.0,757501.0,189375.0
21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,,
1068550000.0,1068550000.0,1068550000.0,,,,
200000000.0,,,200000000.0,200000000.0,38780000.0,
334000000.0,,,334000000.0,334000000.0,,
334000000.0,,,,,,
334000000.0,,,,,,
334000000.0,,,,,,
334000000.0,,,,,,
373100000.0,,,373100000.0,373100000.0,,
38900000.0,,,38900000.0,38900000.0,,
38900000.0,,,,,,
38900000.0,,,,,31023662.0,
38900000.0,,,,,159930000.0,
100000000.0,,,100000000.0,100000000.0,,
200000000.0,,,200000000.0,200000000.0,,
4300000.0,,,4300000.0,4300000.0,,
181050000.0,181050000.0,181050000.0,,,,
1000000000.0,1000000000.0,1000000000.0,,,,
1000000000.0,,,1000000000.0,1000000000.0,47135923.0,
1000000000.0,,,,,1720750.0,
1000000000.0,,,,,12741023.0,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,,
1000000000.0,,,,,582305.0,
,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,
3100000.0,3100000.0,3100000.0,3100000.0,3100000.0,,
4960000.0,4960000.0,4960000.0,4960000.0,4960000.0,,
6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,,
2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,
1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
376250000.0,376250000.0,376250000.0,,,,
10000000.0,,,10000000.0,10000000.0,,
10000000.0,,,10000000.0,10000000.0,,
10000000.0,,,10000000.0,10000000.0,,
63750000.0,63750000.0,63750000.0,,,,
,,,,,,
706000.0,706000.0,706000.0,706000.0,706000.0,,
,,,,,,
35000.0,35000.0,17895.0,35000.0,17895.0,,
52743.0,52743.0,48349.0,52743.0,48349.0,,
54765.0,54765.0,50202.0,54765.0,50202.0,,
51045.0,51045.0,46793.0,51045.0,46793.0,,
100000.0,100000.0,100000.0,100000.0,100000.0,,
1000000.0,1000000.0,511300.0,1000000.0,511300.0,,
929019.0,929019.0,475007.0,929019.0,475007.0,,
,3800000.0,3512425.0,3800000.0,3512425.0,2800000.0,2800000.0
,,,,,1000000.0,1000000.0
